?????,Agent_Name,Branch,State,Joining_Date,Policies_Sold,Premium_Generated
5001,Agent_5001,Central,Telangana,08-07-23,329,20460681
5002,Agent_5002,Central,Gujarat,9-15-2019,329,20397908
5008,Agent_5008,Central,Delhi,07-08-22,323,18823777
5014,Agent_5014,Central,Karnataka,10-27-2021,310,19848560
5016,Agent_5016,Central,Karnataka,9-14-2018,346,25717525
5022,Agent_5022,Central,Telangana,9-28-2021,337,22206985
5025,Agent_5025,Central,Haryana,3-25-2022,344,21700496
5027,Agent_5027,Central,Maharashtra,10-26-2021,330,20439840
5030,Agent_5030,Central,Tamil Nadu,11-24-2022,344,21496069
5031,Agent_5031,Central,Gujarat,11-18-2022,357,20101563
5033,Agent_5033,Central,West Bengal,08-08-18,368,21052248
5035,Agent_5035,Central,West Bengal,07-11-17,349,20862785
5038,Agent_5038,Central,Uttar Pradesh,9-13-2022,316,17108926
5050,Agent_5050,Central,Tamil Nadu,04-07-23,333,21605019
5051,Agent_5051,Central,Gujarat,11-19-2023,333,20347293
5052,Agent_5052,Central,Kerala,5-17-2018,327,19357421
5058,Agent_5058,Central,West Bengal,10-17-2019,294,18090499
5059,Agent_5059,Central,Rajasthan,7-27-2024,340,23435765
5066,Agent_5066,Central,Telangana,02-09-19,361,18669379
5069,Agent_5069,Central,Tamil Nadu,1-26-2023,324,21943277
5072,Agent_5072,Central,Uttar Pradesh,9-29-2020,361,24399568
5075,Agent_5075,Central,Delhi,10-28-2022,363,22376309
5078,Agent_5078,Central,Delhi,12-13-2021,312,19369122
5082,Agent_5082,Central,Gujarat,11-18-2018,323,19799619
5085,Agent_5085,Central,Madhya Pradesh,5-31-2024,341,20396751
5088,Agent_5088,Central,Tamil Nadu,2-27-2022,304,16427172
5089,Agent_5089,Central,Rajasthan,03-08-22,343,19647189
5093,Agent_5093,Central,Tamil Nadu,06-04-17,318,19818856
5109,Agent_5109,Central,Delhi,6-13-2024,308,16733923
5118,Agent_5118,Central,Maharashtra,2-20-2020,335,20849534
5124,Agent_5124,Central,Delhi,05-06-21,342,21929656
5133,Agent_5133,Central,Delhi,3-26-2023,321,17292043
5136,Agent_5136,Central,Gujarat,09-03-24,321,17745811
5139,Agent_5139,Central,Kerala,03-10-18,357,22751329
5149,Agent_5149,Central,Kerala,8-23-2021,321,17528965
5151,Agent_5151,Central,Kerala,08-06-22,325,18643731
5159,Agent_5159,Central,West Bengal,12-11-21,335,21944255
5161,Agent_5161,Central,Kerala,10-06-17,343,18051949
5162,Agent_5162,Central,Karnataka,12-18-2018,324,17638819
5165,Agent_5165,Central,Haryana,4-18-2022,349,20434248
5170,Agent_5170,Central,Rajasthan,8-14-2024,327,19154572
5171,Agent_5171,Central,Tamil Nadu,04-05-22,329,21005147
5172,Agent_5172,Central,Madhya Pradesh,3-15-2020,352,21045016
5182,Agent_5182,Central,Karnataka,06-02-21,363,23189119
5185,Agent_5185,Central,Uttar Pradesh,11-17-2019,332,20494151
5188,Agent_5188,Central,Karnataka,11-09-24,283,16874748
5190,Agent_5190,Central,Kerala,1-28-2020,345,20968855
5191,Agent_5191,Central,Madhya Pradesh,12-04-21,319,18290197
5192,Agent_5192,Central,Maharashtra,09-01-17,320,21292576
5193,Agent_5193,Central,Tamil Nadu,8-22-2022,339,20792517
5196,Agent_5196,Central,Delhi,05-10-21,329,19873219
5201,Agent_5201,Central,Tamil Nadu,12-20-2021,333,21055889
5211,Agent_5211,Central,Rajasthan,09-04-19,372,24785981
5214,Agent_5214,Central,Delhi,08-08-18,314,20790745
5215,Agent_5215,Central,Rajasthan,08-09-21,359,22970930
5219,Agent_5219,Central,Tamil Nadu,09-11-23,300,16971642
5221,Agent_5221,Central,Gujarat,6-29-2024,350,20065703
5223,Agent_5223,Central,Haryana,3-31-2022,325,20374893
5228,Agent_5228,Central,Kerala,05-04-20,337,18888345
5229,Agent_5229,Central,Maharashtra,3-31-2019,333,21878568
5234,Agent_5234,Central,Rajasthan,10-23-2021,321,19053723
5241,Agent_5241,Central,Karnataka,3-27-2019,329,21305471
5245,Agent_5245,Central,Telangana,10-24-2020,302,17701694
5246,Agent_5246,Central,Haryana,08-08-18,342,19243711
