Claim_ID,Policy_ID,Customer_ID,Claim_Date,Claim_Type,Claim_Amount,Approved_Amount,Claim_Status,Settlement_Date,Provider,Fraud_Score,Fraud_Risk,Claim_TAT_Days
3000005,2000021,1000021,09-07-24,Damage,13649,0,Pending,9-24-2024,Metro Hospital,33,Low Risk,17
3000040,2000171,1000171,2-20-2026,Damage,18193,0,Pending,03-02-26,Apollo Partner,23,Low Risk,10
3000046,2000194,1000194,6-18-2025,Damage,26820,0,Pending,08-09-25,Metro Hospital,10,Low Risk,52
3000123,2000529,1000529,5-16-2025,Damage,90809,0,Pending,07-01-25,Metro Hospital,6,Low Risk,46
3000243,2001009,1001009,01-01-25,Damage,20333,0,Pending,03-01-25,Max Partner,2,Low Risk,59
3000360,2001517,1001517,2-22-2026,Damage,21182,0,Pending,2-26-2026,Fortis Partner,4,Low Risk,4
3000606,2002585,1002585,01-05-26,Damage,49216,0,Pending,02-06-26,Prime Garage,19,Low Risk,32
3000657,2002824,1002824,03-12-26,Damage,13442,0,Pending,5-24-2026,Fortis Partner,9,Low Risk,73
3000707,2003113,1003113,08-03-25,Damage,149521,0,Pending,9-19-2025,Metro Hospital,10,Low Risk,47
3000776,2003429,1003429,12-28-2025,Damage,8714,0,Pending,2-20-2026,Local Provider,33,Low Risk,54
3000807,2003599,1003599,12-11-24,Damage,53880,0,Pending,1-16-2025,Fortis Partner,23,Low Risk,36
3001030,2004537,1004537,06-03-25,Damage,87221,0,Pending,08-01-25,Fortis Partner,11,Low Risk,59
3001160,2005132,1005132,11-30-2025,Damage,17556,0,Pending,12-20-2025,Prime Garage,11,Low Risk,20
3001271,2005556,1005556,12-22-2024,Damage,35781,0,Pending,2-20-2025,Apollo Partner,2,Low Risk,60
3001285,2005598,1005598,8-27-2025,Damage,77598,0,Pending,09-08-25,Prime Garage,22,Low Risk,12
3001451,2006292,1006292,05-09-26,Damage,42557,0,Pending,06-03-26,AutoCare Garage,7,Low Risk,25
3001456,2006317,1006317,12-14-2024,Damage,45177,0,Pending,02-02-25,Apollo Partner,10,Low Risk,50
3001530,2006595,1006595,05-02-26,Damage,90462,0,Pending,5-16-2026,Apollo Partner,15,Low Risk,14
3001545,2006669,1006669,2-24-2026,Damage,7222,0,Pending,3-24-2026,Fortis Partner,30,Low Risk,28
3001548,2006684,1006684,02-12-26,Damage,4163,0,Pending,2-17-2026,AutoCare Garage,22,Low Risk,5
3001616,2007014,1007014,09-02-25,Damage,88645,0,Pending,11-02-25,Max Partner,36,Low Risk,61
3001695,2007381,1007381,1-13-2026,Damage,158783,0,Pending,1-23-2026,AutoCare Garage,21,Low Risk,10
3001832,2007969,1007969,10-16-2025,Damage,217003,0,Pending,11-21-2025,Local Provider,17,Low Risk,36
3001866,2008102,1008102,4-19-2026,Damage,27763,0,Pending,4-28-2026,Max Partner,6,Low Risk,9
3001907,2008326,1008326,2-18-2025,Damage,121979,0,Pending,4-28-2025,Fortis Partner,36,Low Risk,69
3001979,2008613,1008613,11-07-24,Damage,22905,0,Pending,12-27-2024,AutoCare Garage,9,Low Risk,50
3002003,2008707,1008707,12-03-25,Damage,68625,0,Pending,1-27-2026,Prime Garage,9,Low Risk,55
