Customer_ID,Age,Gender,State,City,Income_Band,Customer_Segment,Customer_Since
1000345,32,Male,Maharashtra,Nagpur,3-6L,Retail,1-13-2018
1000572,58,Male,Maharashtra,Nagpur,3-6L,Retail,11-21-2025
1000759,27,Male,Maharashtra,Nagpur,3-6L,Retail,12-23-2018
1000857,28,Male,Maharashtra,Nagpur,3-6L,Retail,2-19-2018
1001153,30,Male,Maharashtra,Nagpur,3-6L,Retail,06-05-23
1001480,32,Male,Maharashtra,Nagpur,3-6L,Retail,12-04-25
1001668,31,Male,Maharashtra,Nagpur,3-6L,Retail,11-27-2021
1001713,18,Male,Maharashtra,Nagpur,3-6L,Retail,07-07-20
1002313,40,Male,Maharashtra,Nagpur,3-6L,Retail,8-17-2023
1002621,46,Male,Maharashtra,Nagpur,3-6L,Retail,5-30-2019
1002629,32,Male,Maharashtra,Nagpur,3-6L,Retail,05-01-23
1002855,52,Male,Maharashtra,Nagpur,3-6L,Retail,4-22-2024
1003435,65,Male,Maharashtra,Nagpur,3-6L,Retail,05-01-21
1003466,21,Male,Maharashtra,Nagpur,3-6L,Retail,12-31-2021
1003807,38,Male,Maharashtra,Nagpur,3-6L,Retail,6-18-2025
1004159,30,Male,Maharashtra,Nagpur,3-6L,Retail,2-23-2021
1004296,19,Male,Maharashtra,Nagpur,3-6L,Retail,11-16-2024
1004480,50,Male,Maharashtra,Nagpur,3-6L,Retail,10-03-18
1005090,29,Male,Maharashtra,Nagpur,3-6L,Retail,02-09-22
1005397,40,Male,Maharashtra,Nagpur,3-6L,Retail,05-08-24
1005424,36,Male,Maharashtra,Nagpur,3-6L,Retail,09-03-20
1005687,53,Male,Maharashtra,Nagpur,3-6L,Retail,02-04-23
1005834,47,Male,Maharashtra,Nagpur,3-6L,Retail,7-24-2021
1006139,38,Male,Maharashtra,Nagpur,3-6L,Retail,03-06-19
1006148,33,Male,Maharashtra,Nagpur,3-6L,Retail,12-10-19
1006683,46,Male,Maharashtra,Nagpur,3-6L,Retail,11-03-21
1006754,42,Male,Maharashtra,Nagpur,3-6L,Retail,05-08-22
1006945,18,Male,Maharashtra,Nagpur,3-6L,Retail,04-12-19
1007291,18,Male,Maharashtra,Nagpur,3-6L,Retail,07-03-19
1007463,23,Male,Maharashtra,Nagpur,3-6L,Retail,7-24-2019
1008116,36,Male,Maharashtra,Nagpur,3-6L,Retail,05-02-23
1009071,49,Male,Maharashtra,Nagpur,3-6L,Retail,3-19-2025
1009193,45,Male,Maharashtra,Nagpur,3-6L,Retail,04-01-21
1009427,26,Male,Maharashtra,Nagpur,3-6L,Retail,04-11-18
