Policy_ID,Customer_ID,Product,Policy_Start,Policy_End,Premium,Sum_Insured,Channel,Agent_ID,Renewal_Status
2000023,1000023,Motor,06-07-24,06-08-25,9846,304061,Agent,5299,Renewed
2000028,1000028,Motor,11-03-24,11-03-25,9911,341450,Agent,5218,Renewed
2000029,1000029,Motor,8-26-2024,8-26-2025,25315,1332046,Agent,5110,Renewed
2000047,1000047,Motor,4-15-2024,4-15-2025,25814,950097,Agent,5198,Renewed
2000049,1000049,Motor,7-14-2024,7-14-2025,21707,646193,Agent,5050,Renewed
2000055,1000055,Motor,2-19-2024,2-18-2025,19262,845924,Agent,5101,Renewed
2000088,1000088,Motor,4-24-2025,4-25-2026,7519,468910,Agent,5124,Renewed
2000095,1000095,Motor,03-11-25,03-12-26,10322,1165183,Agent,5063,Renewed
2000098,1000098,Motor,1-17-2025,1-17-2026,23350,1196673,Agent,5179,Renewed
2000100,1000100,Motor,7-24-2024,7-25-2025,5360,555572,Agent,5188,Renewed
2000103,1000103,Motor,6-13-2025,6-13-2026,31628,955907,Agent,5261,Renewed
2000118,1000118,Motor,12-18-2025,12-19-2026,9616,715436,Agent,5079,Renewed
2000125,1000125,Motor,3-25-2025,3-25-2026,21072,796796,Agent,5117,Renewed
2000131,1000131,Motor,8-26-2024,8-26-2025,39772,1232812,Agent,5026,Renewed
2000140,1000140,Motor,4-26-2025,4-27-2026,19947,970161,Agent,5275,Renewed
2000144,1000144,Motor,3-23-2024,3-24-2025,26685,1249250,Agent,5076,Renewed
2000173,1000173,Motor,7-17-2024,7-18-2025,23308,679460,Agent,5091,Renewed
2000176,1000176,Motor,06-09-24,06-10-25,40936,1180450,Agent,5176,Renewed
2000181,1000181,Motor,6-13-2024,6-13-2025,17714,1370076,Agent,5184,Renewed
2000184,1000184,Motor,07-05-24,07-05-25,16369,905294,Agent,5224,Renewed
2000188,1000188,Motor,8-25-2024,8-25-2025,8335,649726,Agent,5133,Renewed
2000207,1000207,Motor,1-23-2025,1-24-2026,14111,840316,Agent,5101,Renewed
2000215,1000215,Motor,04-09-24,04-10-25,14919,911406,Agent,5095,Renewed
2000234,1000234,Motor,12-12-25,12-12-26,13305,483880,Agent,5103,Renewed
2000240,1000240,Motor,04-08-25,04-08-26,16482,649686,Agent,5289,Renewed
2000250,1000250,Motor,12-30-2024,12-30-2025,24879,955964,Agent,5213,Renewed
2000267,1000267,Motor,10-18-2025,10-18-2026,38842,1225857,Agent,5175,Renewed
2000305,1000305,Motor,2-24-2025,2-24-2026,17606,975288,Agent,5164,Renewed
2000347,1000347,Motor,04-04-24,04-05-25,2773,310678,Agent,5150,Renewed
2000363,1000363,Motor,9-26-2024,9-27-2025,11639,1392257,Agent,5239,Renewed
2000387,1000387,Motor,02-03-24,02-03-25,39554,1202203,Agent,5268,Renewed
2000392,1000392,Motor,4-21-2025,4-21-2026,4799,508231,Agent,5260,Renewed
2000394,1000394,Motor,10-12-24,10-12-25,33836,1467925,Agent,5123,Renewed
2000403,1000403,Motor,12-30-2025,12-30-2026,19411,1402466,Agent,5149,Renewed
2000433,1000433,Motor,9-16-2025,9-17-2026,15678,687318,Agent,5024,Renewed
2000435,1000435,Motor,9-30-2024,10-01-25,18145,1080786,Agent,5035,Renewed
2000470,1000470,Motor,07-12-25,07-12-26,29088,1187501,Agent,5037,Renewed
2000476,1000476,Motor,3-27-2025,3-27-2026,18045,1422627,Agent,5117,Renewed
2000505,1000505,Motor,12-20-2024,12-20-2025,21943,1437528,Agent,5009,Renewed
